clean_desc,variety
sweet cherry black fruit,"Corvina, Rondinella, Molinara"
lemon fruit honey lemon crisp,Viognier
rich cherry sweet,"Corvina, Rondinella, Molinara"
crisp citrus wood,Chardonnay
structure acidity fruit fruit citrus,Chardonnay
acidity,Chardonnay
mineral structure,Chardonnay
acidity fruit,Chardonnay
earth black fruit,Malbec
cherry fruit,Pinot Noir
fruit,"Corvina, Rondinella, Molinara"
structure acidity black,Pinot Noir
oak fruit red apple,"Corvina, Rondinella, Molinara"
fruit,"Corvina, Rondinella, Molinara"
fruit,Syrah
fruit,"Corvina, Rondinella, Molinara"
berry fruit,"Corvina, Rondinella, Molinara"
wood red fruit,Pinot Noir
sweet mineral,Sauvignon Blanc
oak,Red Blend
rich vanilla,Sparkling Blend
red,Pinot Noir
citrus fruit spicy,Chardonnay
fruit sweet,"Corvina, Rondinella, Molinara"
sweet fruit rich,"Corvina, Rondinella, Molinara"
red fruit,Red Blend
acidity black,Bordeaux-style Red Blend
structure black acidity,Bordeaux-style Red Blend
structure,Bordeaux-style Red Blend
black fruit fruit,Bordeaux-style Red Blend
rich black,Bordeaux-style Red Blend
sweet wood black acidity fruit,Bordeaux-style Red Blend
rich,Bordeaux-style Red Blend
structure acidity,Bordeaux-style Red Blend
black fruit acidity,Bordeaux-style Red Blend
dry dry,Bordeaux-style Red Blend
dry mineral,Bordeaux-style Red Blend
crisp black acidity,Bordeaux-style Red Blend
black,Bordeaux-style Red Blend
sweet spicy,Bordeaux-style Red Blend
structure fruit,Bordeaux-style Red Blend
spicy berry sweet black,Bordeaux-style Red Blend
spicy wood,Bordeaux-style Red Blend
black acidity fruit,Bordeaux-style Red Blend
rich fruit,Bordeaux-style Red Blend
acidity black,Bordeaux-style Red Blend
red berry structure fruit,Bordeaux-style Red Blend
acidity,Bordeaux-style Red Blend
rich fruit red berry,Bordeaux-style Red Blend
black red,Bordeaux-style Red Blend
fruit spicy,Bordeaux-style Red Blend
fruit fruit acidity,Bordeaux-style Red Blend
fruit red,Red Blend
white pear apple crisp,White Blend
cherry oak wood light fruit,Nebbiolo
fruit berry acidity,Barbera
berry acidity,Pinot Noir
black fruit vanilla red berry light dry,Cabernet Sauvignon
acidity fruit lemon,Sauvignon Blanc
black cherry,Red Blend
sweet cherry,Cabernet Sauvignon
light fruit crisp butter,Nebbiolo
acidity fruit,White Blend
fruit,Nebbiolo
dry acidity cherry mineral,Pinot Noir
spicy fruit sweet cherry,Barbera
rich fruit spicy,Zinfandel
vanilla,Merlot
cherry oak,Cabernet Sauvignon
fruit lemon,Sauvignon Blanc
lemon apple creamy acidity,Chardonnay
oak vanilla berry,Nebbiolo
fruit,Nebbiolo
pepper sweet cherry,Red Blend
fruit apple rich,White Blend
fruit acid spicy cherry fruit,Merlot
red fruit honey structure,Red Blend
acid apple acidity,Sauvignon Blanc
dry crisp acidity lemon honey,Sauvignon Blanc
pear fruit rich pear,Chardonnay
light sweet crisp apple citrus,Riesling
fruit structure,Cabernet Sauvignon
light berry earth,Pinot Noir
sweet berry berry,Rosé
cherry red,Rhône-style Red Blend
fruit black berry,Bordeaux-style Red Blend
acidity oak vanilla,Chardonnay
dry apple oak sweet crisp,Sauvignon Blanc
rich rich vanilla oak,Chardonnay
mineral lemon acidity sweet pear,Chardonnay
dry apple crisp,Riesling
fruit oak lemon vanilla crisp acidity,Chardonnay
black cherry cherry,Red Blend
dry oak rich,Cabernet Sauvignon
black oak,Cabernet Sauvignon
sweet black fruit,Syrah
red black cherry vanilla,Red Blend
fruit oak vanilla creamy,Chardonnay
rich cherry black pepper,Syrah
dry spicy,Pinot Grigio
structure fruit black,Cabernet Sauvignon
light acidity,Chardonnay
acidity dry lemon white,Sauvignon Blanc
black fruit,Malbec
sweet lemon fruit citrus,Sauvignon Blanc
rich oak vanilla fruit acidity,Chardonnay
cherry,Zinfandel
black cherry berry sweet structure,Rhône-style Red Blend
structure,Pinot Noir
acidity rich vanilla sweet creamy butter,Chardonnay
sweet,Cabernet Sauvignon
light fruit spicy,Pinot Noir
honey citrus honey citrus sweet sweet,White Blend
cherry crisp acidity,Red Blend
fruit,Pinot Noir
berry berry fruit,Cabernet Sauvignon
cherry,Merlot
red pear,Chardonnay
citrus fruit lemon,Sauvignon Blanc
dry fruit acidity dry,Malbec
fruit creamy,Chardonnay
fruit crisp citrus rich white,Portuguese White
red berry,Red Blend
fruit structure black dry acidity fruit,Bordeaux-style Red Blend
berry white cherry rich,Red Blend
oak rich fruit sweet,Merlot
fruit earth fruit sweet,Sangiovese
black fruit,Red Blend
wood fruit spicy wood fruit,Malbec
crisp,Pinot Noir
cherry black red sweet oak vanilla acidity,Syrah
spicy red black pepper,Syrah
pear spicy,Pinot Gris
fruit,Pinot Noir
cherry fruit light,Pinot Noir
berry acidity dry fruit,Portuguese Red
pepper berry cherry,Red Blend
red cherry berry,Rhône-style Red Blend
sweet honey acidity crisp mineral citrus apple dry,Sauvignon Blanc
rich cherry,Merlot
light dry apple lemon,Chardonnay
oak berry,Red Blend
dry red acidity,Pinot Noir
berry fruit cherry,Red Blend
citrus,Portuguese White
rich black berry wood vanilla,Portuguese Red
rich,Chardonnay
black fruit black,Red Blend
fruit lemon vanilla,Sauvignon Blanc
acidity spicy structure fruit,Grenache
fruit vanilla vanilla cherry,Rhône-style Red Blend
rich sweet,Port
apple dry creamy acidity,Riesling
red,Petite Sirah
rich creamy,Bordeaux-style White Blend
wood sweet,Bordeaux-style Red Blend
rich pear acidity,Bordeaux-style White Blend
rich structure,Bordeaux-style White Blend
oak black red rich,Bordeaux-style Red Blend
red berry,Bordeaux-style Red Blend
rich red cherry,Bordeaux-style Red Blend
red fruit,Bordeaux-style White Blend
berry sweet cherry,Red Blend
fruit cherry mineral acidity,Red Blend
apple citrus,Sparkling Blend
fruit structure structure,Bordeaux-style Red Blend
structure acidity black,Bordeaux-style Red Blend
wood wood rich fruit,Bordeaux-style Red Blend
berry oak berry oak,Red Blend
fruit berry cherry,Rosé
vanilla berry rich sweet berry,Red Blend
citrus earth sweet black pepper,Syrah
wood spicy rich,Portuguese White
vanilla lemon,Sauvignon Blanc
fruit black,Cabernet Sauvignon
fruit crisp berry,Shiraz
black fruit,Red Blend
black acidity,Portuguese Red
rich creamy fruit,Shiraz
oak fruit citrus,Sauvignon Blanc
berry berry black berry fruit oak,Malbec
rich cherry black fruit dry,Pinot Noir
sweet wood black berry fruit fruit structure,Bordeaux-style Red Blend
rich,Portuguese Red
fruit fruit,Cabernet Sauvignon
oak oak sweet black cherry,Malbec
rich acidity citrus,Chardonnay
sweet rich acidity,Portuguese Red
red berry black,Red Blend
wood,Portuguese Red
cherry,Pinot Noir
spicy fruit fruit,Zinfandel
oak cherry structure,Red Blend
red structure oak,Red Blend
structure black rich,Portuguese Red
dry acidity sweet fruit lemon,Riesling
black,Cabernet Sauvignon
acidity,Chardonnay
black cherry fruit,Pinot Noir
rich cherry red,Red Blend
pear vanilla oak,Chardonnay
fruit sweet oak vanilla acidity,Chardonnay
spicy,Pinot Noir
rich red fruit acidity acidity,Port
wood,Red Blend
black cherry wood acidity fruit,Portuguese Red
rich black pepper sweet oak,Zinfandel
rich,Cabernet Sauvignon
fruit vanilla berry fruit,Pinot Noir
wood spicy fruit rich,Bordeaux-style White Blend
creamy citrus fruit dry,Riesling
oak apple,Chardonnay
red mineral earth,Pinot Noir
structure acidity cherry sweet,Cabernet Franc
oak,Pinot Noir
white citrus,Portuguese White
dry black fruit white pepper,Syrah
cherry fruit,Nebbiolo
berry,Nebbiolo
red fruit sweet,Nebbiolo
acidity honey,Pinot Grigio
red fruit berry fruit,Cabernet Sauvignon
oak acidity apple oak,Chardonnay
red cherry spicy red cherry mineral,Red Blend
cherry red berry dry acidity,Sparkling Blend
oak fruit,Merlot
berry berry oak,Carmenère
light crisp citrus white acidity,Sauvignon Blanc
black pepper,Cabernet Sauvignon
sweet cherry,Tempranillo
dry black cherry,Merlot
vanilla black fruit,Syrah
cherry crisp acidity dry,Pinot Noir
dry rich oak structure,Bordeaux-style Red Blend
fruit cherry,Nebbiolo
fruit,Nebbiolo
berry,Nebbiolo
wood red acidity,Pinot Noir
acidity black fruit dry,Bordeaux-style Red Blend
acidity black fruit fruit dry,Bordeaux-style Red Blend
wood black red berry dry,Bordeaux-style Red Blend
dry lemon vanilla acidity,Gewürztraminer
spicy fruit acidity rich lemon fruit,Sauvignon Blanc
wood fruit dry acidity black structure,Bordeaux-style Red Blend
acidity dry,Pinot Noir
red cherry fruit acidity,Pinot Noir
fruit,Syrah
rich fruit fruit red apple,Chardonnay
black fruit spicy,"Corvina, Rondinella, Molinara"
fruit dry sweet,"Corvina, Rondinella, Molinara"
rich,"Corvina, Rondinella, Molinara"
spicy fruit,Bordeaux-style Red Blend
acidity black,Cabernet Sauvignon
red rich,Pinot Noir
rich fruit wood structure crisp,Chardonnay
rich mineral wood,Chardonnay
red fruit berry earth,Bordeaux-style Red Blend
citrus dry,Riesling
fruit rich acidity,Chardonnay
citrus,Chardonnay
mineral fruit,"Corvina, Rondinella, Molinara"
rich acidity structure crisp,Chardonnay
red,Pinot Noir
red fruit,Syrah
rich fruit structure fruit,Pinot Noir
cherry,"Corvina, Rondinella, Molinara"
wood rich fruit,Chardonnay
honey wood rich wood white structure sweet acidity,Chardonnay
fruit cherry,Cabernet Sauvignon
acidity dry fruit sweet,Viognier
rich berry,Cabernet Sauvignon
black cherry butter,Port
berry,Bordeaux-style Red Blend
wood sweet spicy,Bordeaux-style Red Blend
rich fruit acidity,Bordeaux-style Red Blend
sweet wood spicy red berry,Bordeaux-style Red Blend
fruit acidity,Bordeaux-style Red Blend
dry,Bordeaux-style Red Blend
wood black,Bordeaux-style Red Blend
rich berry,Bordeaux-style Red Blend
acidity,Bordeaux-style Red Blend
fruit black acidity,Bordeaux-style Red Blend
acidity dry,Bordeaux-style Red Blend
fruit dry fruit,Bordeaux-style Red Blend
acidity,Bordeaux-style Red Blend
black red,Bordeaux-style Red Blend
dry,Bordeaux-style White Blend
rich spicy rich dry,Bordeaux-style White Blend
vanilla acidity,Bordeaux-style White Blend
acidity fruit dry,Bordeaux-style White Blend
sweet,Bordeaux-style White Blend
rich honey,Bordeaux-style White Blend
acidity,Bordeaux-style White Blend
rich fruit dry sweet,Bordeaux-style White Blend
light rich acidity,Bordeaux-style White Blend
rich,Bordeaux-style White Blend
rich acidity acidity,Bordeaux-style White Blend
acidity,Bordeaux-style White Blend
acidity structure,Bordeaux-style White Blend
acidity sweet,Bordeaux-style White Blend
creamy fruit citrus white,White Blend
fruit red berry cherry,Pinot Noir
dry crisp black pepper fruit,Syrah
fruit red berry acidity,Malbec
black fruit fruit,Cabernet Sauvignon
fruit,Red Blend
white pepper cherry,Shiraz
sweet apple citrus fruit crisp apple,Riesling
dry pepper rich oak,Pinot Noir
dry citrus pear mineral oak acidity,Chardonnay
lemon citrus white crisp citrus red lemon sweet,Riesling
dry,Bordeaux-style Red Blend
fruit red apple,Red Blend
rich black fruit,Red Blend
sweet fruit,Malbec
sweet cherry berry,Malbec
acidity,Red Blend
fruit mineral black pepper berry,Syrah
light white citrus,White Blend
light fruit,Pinot Noir
acidity citrus,Chardonnay
sweet oak rich,Cabernet Sauvignon
light,Viognier
vanilla oak,Chardonnay
sweet cherry fruit,Cabernet Sauvignon
citrus,Sauvignon Blanc
berry fruit,Barbera
sweet vanilla crisp acidity,Sauvignon Blanc
acidity,Riesling
sweet lemon oak,Chardonnay
crisp acidity fruit,Rosé
rich oak,Bordeaux-style Red Blend
cherry dry,Rosé
cherry fruit,Syrah
dry,Malbec
pepper honey sweet,Pinot Gris
black cherry cherry,Pinot Noir
fruit,Syrah
fruit oak vanilla,Chardonnay
fruit black cherry,Merlot
apple creamy acidity,Chardonnay
red acidity,Pinot Noir
red cherry crisp,Red Blend
acidity black fruit wood fruit,Pinot Noir
black cherry vanilla red,Merlot
citrus white crisp spicy fruit,Chardonnay
berry fruit,Pinot Noir
light apple apple white wood,Chardonnay
spicy apple pear white fruit acidity,Riesling
pepper fruit,Sauvignon Blanc
crisp,Bordeaux-style White Blend
dry acidity oak mineral citrus,Chardonnay
rich honey apple vanilla acidity,Pinot Gris
acidity acidity light,Cabernet Franc
red,Red Blend
dry oak,Cabernet Sauvignon
apple,Sauvignon Blanc
cherry red sweet,Merlot
citrus honey dry,Sauvignon Blanc
acidity oak rich,Chardonnay
rich black cherry fruit oak spicy,Zinfandel
acidity fruit,Rosé
citrus,Riesling
red black cherry red berry spicy,Red Blend
fruit light acidity,Chardonnay
fruit oak,Cabernet Sauvignon
rich dry dry acidity,Bordeaux-style Red Blend
black cherry berry,Tempranillo
rich spicy cherry,Zinfandel
acidity apple,Albariño
honey dry crisp,Riesling
vanilla acidity,Chardonnay
dry acid citrus lemon fruit,Riesling
cherry,Red Blend
dry black structure rich,Bordeaux-style Red Blend
rich acidity fruit honey crisp acidity,Chardonnay
cherry black pepper,Red Blend
berry,Shiraz
black,Cabernet Sauvignon
fruit,Bordeaux-style Red Blend
crisp lemon,Sauvignon Blanc
structure black,Bordeaux-style Red Blend
rich fruit structure,Bordeaux-style Red Blend
acidity,Bordeaux-style Red Blend
creamy wood apple,Bordeaux-style White Blend
black acidity,Merlot
berry,Bordeaux-style Red Blend
light red cherry,Rosé
rich red fruit structure sweet acidity,Bordeaux-style Red Blend
cherry oak sweet vanilla,Pinot Noir
citrus fruit crisp,Sauvignon Blanc
rich berry black acidity,Portuguese Red
sweet dry acidity red berry,Portuguese Red
fruit acidity wood fruit wood,Bordeaux-style Red Blend
vanilla,Shiraz
fruit sweet fruit,Red Blend
fruit cherry sweet vanilla oak,Pinot Noir
dry rich berry,Red Blend
cherry sweet berry crisp,Red Blend
honey sweet dry,White Blend
rich dry sweet acidity,Riesling
apple citrus sweet citrus sweet,Albariño
acidity dry,Sauvignon Blanc
dry,Rosé
dry black cherry black pepper,Syrah
light cherry crisp,Pinot Noir
fruit berry mineral light crisp,Red Blend
dry fruit acidity spicy wood dry structure,Portuguese Red
cherry,Pinot Noir
fruit berry fruit sweet,Red Blend
earth cherry,Tempranillo
lemon citrus fruit,Viognier
cherry fruit,Cabernet Sauvignon
black,Red Blend
fruit,Malbec
honey apple citrus acid,Riesling
crisp lemon apple,Albariño
red pepper oak,Syrah
lemon,Portuguese White
rich black rich,Bordeaux-style Red Blend
dry berry fruit black pepper,Rhône-style Red Blend
berry fruit crisp berry,Malbec
fruit sweet,Red Blend
black berry tannin wood,Portuguese Red
vanilla acidity,Portuguese White
earth berry,Cabernet Franc
dry black fruit acidity,Bordeaux-style Red Blend
wood white rich structure mineral,Portuguese White
black earth fruit berry,Merlot
berry fruit black,Cabernet Sauvignon
rich creamy,Shiraz
crisp sweet citrus honey rich acidity,Sauvignon Blanc
fruit fruit acidity,Syrah
berry berry pepper,Red Blend
cherry pepper vanilla,Tempranillo Blend
rich pear acidity,Portuguese White
red,Merlot
cherry dry acidity,Pinot Noir
structure red fruit acidity,Malbec
creamy pear,Sauvignon Blanc
berry acidity black fruit vanilla oak,Cabernet Sauvignon
sweet fruit acidity,Pinot Noir
fruit,Chardonnay
rich berry cherry oak,Pinot Noir
dry berry cherry dry,Red Blend
lemon fruit white,Chardonnay
vanilla,Chardonnay
cherry,Nebbiolo
creamy,Chardonnay
light red,Bordeaux-style Red Blend
dry wood black fruit acidity fruit,Bordeaux-style Red Blend
wood fruit wood,Bordeaux-style Red Blend
acidity black,Bordeaux-style Red Blend
rich wood dry,Bordeaux-style Red Blend
lemon lemon mineral oak,Chardonnay
acidity apple pear citrus,Sauvignon Blanc
rich sweet cherry,Syrah
rich vanilla tannin,Red Blend
vanilla black oak,Petite Sirah
light fruit fruit acidity fruit,Sauvignon Blanc
rich black sweet oak,Cabernet Sauvignon
honey apple,Riesling
sweet acidity honey spicy,White Blend
pear fruit oak sweet,Chardonnay
dry wood rich fruit butter acidity,Port
berry spicy,Malbec
fruit berry cherry pepper earth,Pinot Noir
berry,Cabernet Sauvignon
red black sweet,Syrah
black,Pinot Noir
black fruit rich,Red Blend
red fruit berry light,Cabernet Sauvignon
white earth,Red Blend
wood structure,Malbec
black structure,Bordeaux-style Red Blend
black fruit acidity dry,Malbec
light cherry red,Pinot Noir
acidity vanilla rich acidity,Chardonnay
oak oak berry fruit,Cabernet Sauvignon
pepper,Pinot Noir
lemon honey acidity sweet,Portuguese White
berry fruit berry,Carmenère
sweet berry fruit,"Corvina, Rondinella, Molinara"
rich sweet,"Corvina, Rondinella, Molinara"
fruit,"Corvina, Rondinella, Molinara"
black cherry,"Corvina, Rondinella, Molinara"
cherry,Cabernet Sauvignon
fruit wood,Chardonnay
dry rich pepper oak sweet light,Syrah
crisp creamy acidity,Chardonnay
acidity oak vanilla cherry dry,"Corvina, Rondinella, Molinara"
rich wood fruit lemon acidity mineral fruit,Chardonnay
dry rich oak,Cabernet Sauvignon
rich structure red fruit,Pinot Noir
crisp,Chardonnay
structure cherry,"Corvina, Rondinella, Molinara"
dry crisp rich pear,Sauvignon Blanc
structure black sweet dry,Pinot Noir
cherry sweet vanilla,"Corvina, Rondinella, Molinara"
citrus light,Sauvignon Blanc
rich mineral fruit rich,Chardonnay
red light,Sangiovese
acidity fruit citrus sweet oak,Chardonnay
structure fruit rich black,Pinot Noir
dry,Pinot Noir
dry,Rosé
red acidity,Pinot Noir
light acidity,Bordeaux-style White Blend
dry dry,Bordeaux-style White Blend
fruit,Red Blend
fruit,Red Blend
sweet cherry,Cabernet Franc
fruit,Pinot Noir
oak dry black black oak,Cabernet Sauvignon
fruit rich,Merlot
fruit rich,Red Blend
fruit oak cherry,Merlot
acidity apple,Chardonnay
black fruit oak,Merlot
cherry sweet fruit,Syrah
structure red fruit,Pinot Noir
wood structure wood fruit acidity rich,Pinot Noir
cherry oak structure,Merlot
fruit,Bordeaux-style Red Blend
black fruit cherry black pepper,Red Blend
red,Cabernet Sauvignon
rich oak cherry,Bordeaux-style Red Blend
structure red fruit,Pinot Noir
fruit black cherry,Pinot Noir
fruit acidity,Pinot Noir
black earth rich black fruit,Cabernet Sauvignon
fruit rich black cherry white pepper fruit,Syrah
structure fruit mineral,Pinot Noir
cherry rich,Merlot
sweet oak apple acidity,Chardonnay
rich berry red cherry,Gamay
structure fruit,Chardonnay
pepper dry,Syrah
earth berry,Syrah
honey fruit,Sparkling Blend
white lemon,White Blend
acid red berry cherry,Syrah
berry fruit creamy vanilla,Shiraz
black dry,Red Blend
creamy black pepper,Bordeaux-style Red Blend
light cherry,Pinot Noir
rich pepper acidity,Petite Sirah
rich creamy fruit spicy wood,White Blend
red acidity,Pinot Noir
black cherry spicy,Cabernet Sauvignon
crisp white citrus fruit,White Blend
apple,Sauvignon Blanc
red berry black cherry fruit,Bordeaux-style Red Blend
black acidity dry mineral fruit,Bordeaux-style Red Blend
black berry light,Bordeaux-style Red Blend
black oak,Cabernet Sauvignon
citrus fruit honey acidity creamy vanilla,Sauvignon Blanc
sweet pepper fruit,Barbera
dry cherry oak,Merlot
red,Cabernet Sauvignon
dry rich sweet oak,Red Blend
oak fruit red apple red pear,Pinot Noir
black cherry dry fruit acidity,Cabernet Sauvignon
pear acidity,Bordeaux-style White Blend
light red,Pinot Noir
cherry fruit,Red Blend
cherry creamy,Cabernet Sauvignon
sweet black fruit vanilla rich,Bordeaux-style Red Blend
citrus vanilla rich,Sparkling Blend
crisp citrus fruit light,White Blend
light red pepper,Cabernet Sauvignon
citrus mineral,White Blend
fruit citrus pear apple creamy oak,Chardonnay
wood vanilla acidity,Pinot Noir
red fruit black cherry berry structure,Red Blend
fruit,Pinot Noir
black acidity,Malbec
cherry dry sweet oak rich,Pinot Noir
pepper cherry pepper,Zinfandel
sweet berry cherry crisp acidity,Nebbiolo
red red cherry crisp,Red Blend
sweet citrus dry dry crisp acidity white,Sauvignon Blanc
light red fruit,Syrah
vanilla acidity,Chardonnay
dry,Merlot
vanilla fruit,Pinot Noir
sweet red fruit,Pinot Noir
earth berry fruit acidity,Cabernet Sauvignon
fruit,Chardonnay
spicy dry berry black berry,Carmenère
rich apple dry white,White Blend
cherry fruit fruit,Nebbiolo
light cherry,Barbera
light,Red Blend
acidity red fruit,Pinot Noir
crisp sweet sweet,Sauvignon Blanc
sweet cherry fruit,Red Blend
fruit fruit fruit,Sauvignon Blanc
crisp light fruit mineral light,Chardonnay
crisp spicy structure crisp acidity,Nebbiolo
acidity apple pear fruit sweet,Chardonnay
apple sweet apple fruit,Chardonnay
fruit,Merlot
crisp pear acidity light,Portuguese White
cherry crisp,Pinot Noir
black earth sweet berry,Red Blend
fruit acidity,Bordeaux-style Red Blend
berry cherry acidity,Red Blend
sweet black fruit rich black cherry,Tempranillo
rich,Chardonnay
crisp structure white,Viognier
dry berry cherry,Zinfandel
berry cherry rich,Red Blend
dry,Cabernet Sauvignon
apple sweet apple,Sparkling Blend
white cherry crisp,Red Blend
spicy berry mineral acid,Portuguese Red
cherry vanilla dry,Pinot Noir
cherry black,Tempranillo
crisp,Sparkling Blend
lemon citrus,Sparkling Blend
lemon,Sauvignon Blanc
rich red sweet oak dry,Cabernet Franc
cherry,Red Blend
black cherry rich,Merlot
light acidity apple citrus fruit,Sauvignon Blanc
light,Sauvignon Blanc
acidity fruit crisp,Sauvignon Blanc
vanilla black fruit acidity black cherry,Tempranillo
wood black fruit acidity,Red Blend
rich sweet,Portuguese Red
cherry fruit,Pinot Noir
red pepper,Bordeaux-style Red Blend
rich sweet,Tempranillo Blend
sweet,Bordeaux-style Red Blend
rich black,Bordeaux-style Red Blend
oak fruit light,Sangiovese
oak cherry sweet,Pinot Noir
berry oak,Malbec
structure rich rich red cherry,Port
dry red fruit dry acidity,Pinot Noir
berry cherry creamy berry pepper,Malbec
berry berry,Tempranillo
dry red red oak,Pinot Noir
black acidity,Bordeaux-style Red Blend
dry structure black,Bordeaux-style Red Blend
sweet crisp black,Bordeaux-style Red Blend
black fruit,Bordeaux-style Red Blend
structure rich,Bordeaux-style Red Blend
rich red berry rich,Bordeaux-style Red Blend
sweet black,Bordeaux-style Red Blend
wood oak fruit,Bordeaux-style Red Blend
spicy rich acidity,Bordeaux-style White Blend
red crisp,Bordeaux-style White Blend
oak sweet,Cabernet Sauvignon
berry pepper,Cabernet Sauvignon
red red,Merlot
spicy fruit oak oak berry,Red Blend
black earth fruit,Cabernet Sauvignon
dry crisp acidity rich sweet vanilla,Sauvignon Blanc
wood creamy white acidity,Portuguese White
wood dry rich acidity,Bordeaux-style Red Blend
berry fruit earth black fruit pepper,Tempranillo
pear sweet oak honey rich,Chardonnay
structure black fruit acidity,Cabernet Sauvignon
fruit fruit mineral acidity,Bordeaux-style Red Blend
dry fruit acidity fruit,Gewürztraminer
pepper berry fruit,Shiraz
spicy berry fruit black cherry,Cabernet Franc
black cherry,Cabernet Sauvignon
fruit oak black cherry fruit,Merlot
acid dry,Rosé
red fruit acidity,Merlot
black fruit vanilla,Tempranillo Blend
dry sweet pear,Riesling
acidity rich fruit,Chenin Blanc
black cherry fruit,Shiraz
rich black earth,Cabernet Sauvignon
cherry sweet,Rhône-style Red Blend
black cherry fruit black fruit,Cabernet Sauvignon
crisp acidity,Nebbiolo
fruit light vanilla acidity,Cabernet Sauvignon
creamy,Sauvignon Blanc
citrus honey crisp acidity sweet,White Blend
lemon oak black fruit,Malbec
creamy rich spicy oak sweet,Chardonnay
spicy berry white pepper spicy,Zinfandel
cherry black fruit red vanilla,Merlot
sweet,Sauvignon Blanc
creamy apple vanilla,Chardonnay
structure,Zinfandel
dry crisp acidity,Chardonnay
white lemon fruit,White Blend
black cherry rich,Nebbiolo
berry,Nebbiolo
black cherry,Red Blend
earth,Pinot Noir
light dry citrus,Sparkling Blend
crisp dry white,Sauvignon Blanc
red black fruit earth,Red Blend
vanilla,Red Blend
fruit oak rich,Barbera
oak,Malbec
dry acidity spicy,Pinot Noir
acidity crisp rich lemon white vanilla,Pinot Grigio
rich fruit,Pinot Noir
light honey red apple vanilla sweet,Chardonnay
cherry fruit light,Pinot Noir
dry wood,Port
rich fruit,Malbec
black fruit wood,Portuguese Red
black fruit,Portuguese Red
wood dry,Malbec
white wood rich acidity,White Blend
red berry acidity,Portuguese Red
fruit,Pinot Noir
apple,Sauvignon Blanc
fruit earth cherry,Pinot Noir
sweet black cherry berry light,Red Blend
fruit fruit lemon,Sauvignon Blanc
spicy acidity honey lemon pear mineral,Portuguese White
fruit spicy cherry,Pinot Noir
red cherry,Red Blend
red earth,Pinot Noir
sweet oak pepper,Red Blend
fruit acidity,Portuguese Red
black fruit black fruit,Syrah
red fruit structure,Bordeaux-style Red Blend
black cherry structure,Rhône-style Red Blend
wood rich black,Malbec
oak berry,"Corvina, Rondinella, Molinara"
fruit cherry crisp structure,Pinot Noir
acidity fruit structure,Chardonnay
crisp wood citrus,Chardonnay
red acidity structure,Pinot Noir
acidity,Pinot Noir
cherry fruit black pepper,Red Blend
black cherry structure earth,Syrah
apple,Champagne Blend
cherry crisp acidity,Pinot Noir
red fruit oak,Red Blend
red cherry red structure oak,Merlot
white wood lemon acidity fruit,Chardonnay
wood crisp white fruit apple pear,Chardonnay
sweet black,Red Blend
fruit acidity,Rhône-style Red Blend
rich,Cabernet Sauvignon
acidity cherry oak dry,Pinot Noir
oak berry fruit,Tempranillo
fruit black,"Corvina, Rondinella, Molinara"
fruit,"Corvina, Rondinella, Molinara"
structure acid berry,Syrah
berry cherry mineral,Syrah
citrus,Viognier
dry cherry,Pinot Noir
oak berry berry earth,Tempranillo
fruit red cherry fruit,Red Blend
acidity black,Pinot Noir
structure red,Pinot Noir
black oak,Cabernet Sauvignon
mineral,Grenache
acidity,Chardonnay
fruit fruit,Red Blend
black fruit rich,Red Blend
rich wood fruit,Pinot Noir
oak fruit sweet,Bordeaux-style Red Blend
fruit,Chardonnay
black spicy,Cabernet Sauvignon
wood black cherry acidity fruit,Pinot Noir
black,Merlot
dry rich sweet pepper,Red Blend
rich white fruit structure,Chardonnay
black fruit cherry black rich structure,Merlot
fruit rich black fruit structure,Pinot Noir
cherry,Pinot Noir
red spicy black sweet oak tannin acid structure,Bordeaux-style Red Blend
vanilla,Pinot Noir
rich oak sweet,Cabernet Sauvignon
rich,Chardonnay
red cherry,Red Blend
citrus,Riesling
black fruit,Red Blend
rich,Rhône-style Red Blend
rich fruit wood fruit acidity,Chardonnay
fruit acidity fruit oak,Syrah
structure sweet black oak,Cabernet Sauvignon
cherry rich,Cabernet Franc
fruit,Pinot Noir
berry fruit,Malbec
cherry pepper rich,Petite Sirah
red light fruit acid tannin spicy,Pinot Noir
black cherry dry,Cabernet Sauvignon
dry crisp apple citrus,Riesling
sweet cherry,Rosé
berry fruit,Malbec
lemon pear apple citrus apple honey dry,Chardonnay
fruit,Malbec
fruit,Red Blend
berry pepper fruit,Syrah
fruit white acidity,Sauvignon Blanc
dry acidity,Pinot Noir
berry sweet dry,Zinfandel
pear pepper fruit acidity,Grüner Veltliner
black cherry fruit berry acidity,Malbec
cherry cherry,Merlot
cherry cherry,Merlot
dry,White Blend
dry acidity rich cherry,Pinot Noir
creamy white fruit,Chardonnay
creamy,Carmenère
cherry,Merlot
light fruit vanilla oak acid,Merlot
apple lemon honey,Chardonnay
dry lemon vanilla creamy,Chardonnay
sweet pear,Chardonnay
acidity red,Pinot Noir
white acidity,Pinot Grigio
crisp acidity rich lemon apple sweet,Sauvignon Blanc
earth berry cherry fruit,Malbec
spicy mineral oak light,Chardonnay
black fruit,Cabernet Sauvignon
apple citrus light acidity,Chardonnay
tannin structure red cherry fruit pepper acidity,Pinot Noir
sweet rich,Zinfandel
white acidity,Sauvignon Blanc
sweet pear acidity rich spicy,Chardonnay
berry,Merlot
rich citrus white dry pear lemon fruit,White Blend
red dry sweet,Riesling
